Tytuł,Autor,Autor (po nazwisku),Tłumacz,Okładka,Data emisji,Opis audycji,Link
Gdyby Nina wiedziała,Dawid Grosman,Grosman Dawid,Magdalena Sommer,https://static.prsa.pl/images/771bb5df-cd33-4288-a801-49b466076c9d.jpg?format=500,2021-11-03,"Gdyby Nina wiedziała, Utracony obraz. Literacki pomost między Izraelem a Palestyną","https://www.polskieradio.pl/8/2827/Artykul/2839748,gdyby-nina-wiedziala-utracony-obraz-literacki-pomost-miedzy-izraelem-a-palestyna"
Utracony obraz,Asma al-Atauna,al-Atauna Asma,Marcin Michalski,https://static.prsa.pl/images/771bb5df-cd33-4288-a801-49b466076c9d.jpg?format=500,2021-11-03,"Gdyby Nina wiedziała, Utracony obraz. Literacki pomost między Izraelem a Palestyną","https://www.polskieradio.pl/8/2827/Artykul/2839748,gdyby-nina-wiedziala-utracony-obraz-literacki-pomost-miedzy-izraelem-a-palestyna"
Niech żyje śmierć!,Hubert Klimko-Dobrzaniecki,Klimko-Dobrzaniecki Hubert,(brak danych),https://static.prsa.pl/images/deb0e63f-4cb8-41a5-b489-42f7b0dc508e.jpg?format=500,2021-10-31,Sprawy ostateczne z przymrużeniem oka,"https://www.polskieradio.pl/8/2827/Artykul/2835991,sprawy-ostateczne-z-przymruzeniem-oka"
Wypiór,Grzegorz Uzdański,Uzdański Grzegorz,(brak danych),https://static.prsa.pl/images/deb0e63f-4cb8-41a5-b489-42f7b0dc508e.jpg?format=500,2021-10-31,Sprawy ostateczne z przymrużeniem oka,"https://www.polskieradio.pl/8/2827/Artykul/2835991,sprawy-ostateczne-z-przymruzeniem-oka"
Straszydła na co dzień,Karel Michal,Michal Karel,Dorota Dobrew,https://static.prsa.pl/images/51e43def-1f97-4eda-9d12-45d04273eb55.jpg,2021-10-24,Czeskie straszydła i dziwna podróż,"https://www.polskieradio.pl/8/2827/Artykul/2829520,czeskie-straszydla-i-dziwna-podroz"
Ostatnia podróż Winterberga,Jaroslav Rudiš,Rudiš Jaroslav,Małgorzata Gralińska,https://static.prsa.pl/images/51e43def-1f97-4eda-9d12-45d04273eb55.jpg,2021-10-24,Czeskie straszydła i dziwna podróż,"https://www.polskieradio.pl/8/2827/Artykul/2829520,czeskie-straszydla-i-dziwna-podroz"
Sielanki,George Saunders,Saunders George,(nie znaleziono),https://static.prsa.pl/images/f9e67e75-f36d-4314-bf40-00dc379ad68e.jpg?format=500,2021-10-17,Karykatura świata i hipnotyzujące opowiadania,"https://www.polskieradio.pl/8/2827/Artykul/2824888,karykatura-swiata-i-hipnotyzujace-opowiadania"
Trzymam wilka za uszy,Laura van den Berg,van den Berg Laura,Dobromiła Jankowska,https://static.prsa.pl/images/f9e67e75-f36d-4314-bf40-00dc379ad68e.jpg?format=500,2021-10-17,Karykatura świata i hipnotyzujące opowiadania,"https://www.polskieradio.pl/8/2827/Artykul/2824888,karykatura-swiata-i-hipnotyzujace-opowiadania"
Pieprzyć teraz to tysiąc dinarów,Boris Dežulović,Dežulović Boris,Magdalena Wąs,https://static.prsa.pl/images/72cdb085-b368-4803-b6f5-b953af99bc7a.jpg,2021-09-26,Kultowa powieść i debiut. Propozycje z Bałkanów,"https://www.polskieradio.pl/8/2827/Artykul/2809207,kultowa-powiesc-i-debiut-propozycje-z-balkanow"
"Lato, gdy mama miała zielone oczy",Tatiana Țîbuleac,Țîbuleac Tatiana,Dominik Małecki,https://static.prsa.pl/images/72cdb085-b368-4803-b6f5-b953af99bc7a.jpg,2021-09-26,Kultowa powieść i debiut. Propozycje z Bałkanów,"https://www.polskieradio.pl/8/2827/Artykul/2809207,kultowa-powiesc-i-debiut-propozycje-z-balkanow"
"10-lecie Czytelni. ""Byliśmy wiewióreczką, jesteśmy hipopotamem""",(brak danych),danych) (brak,(nie znaleziono),https://static.prsa.pl/images/e1671d98-00b6-4e57-83db-3c48f924cbd4.jpg,2021-09-12,"10-lecie Czytelni. Byliśmy wiewióreczką, jesteśmy hipopotamem","https://www.polskieradio.pl/8/2827/Artykul/2804626,10lecie-czytelni-bylismy-wiewioreczka-jestesmy-hipopotamem"
"Kości, które nosisz w kieszeni",Łukasz Barys,Barys Łukasz,(brak danych),https://static.prsa.pl/images/7e857172-78f5-4bc0-8394-2a1a801963b7.jpg?format=500,2021-09-02,"Schyłkowość, baśniowość i eklektyzm","https://www.polskieradio.pl/8/2827/Artykul/2799490,schylkowosc-basniowosc-i-eklektyzm"
Wydatki,Łukasz Zawada,Zawada Łukasz,(nie znaleziono),https://static.prsa.pl/images/7e857172-78f5-4bc0-8394-2a1a801963b7.jpg?format=500,2021-09-02,"Schyłkowość, baśniowość i eklektyzm","https://www.polskieradio.pl/8/2827/Artykul/2799490,schylkowosc-basniowosc-i-eklektyzm"
Półmordercy,Håkan Nesser,Nesser Håkan,(nie znaleziono),https://static.prsa.pl/images/04e48afc-2173-4dac-87f7-d3be52615ef7.jpg?format=500,2021-08-25,Sensacyjne przypadki,"https://www.polskieradio.pl/8/2827/Artykul/2794979,sensacyjne-przypadki"
Kulawe konie,Mick Herron,Herron Mick,Anna Krochmal,https://static.prsa.pl/images/04e48afc-2173-4dac-87f7-d3be52615ef7.jpg?format=500,2021-08-25,Sensacyjne przypadki,"https://www.polskieradio.pl/8/2827/Artykul/2794979,sensacyjne-przypadki"
Polowanie na małego szczupaka,Juhani Karila,Karila Juhani,Sebastian Musielak,https://static.prsa.pl/images/cf93491c-845f-426e-96ad-6058bfd9a224.jpg,2021-08-18,Kobiece postacie w literaturze skandynawskiej,"https://www.polskieradio.pl/8/2827/Artykul/2791623,kobiece-postacie-w-literaturze-skandynawskiej"
Trylogia kopenhaska,Tove Ditlevsen,Ditlevsen Tove,Iwona Zimnicka,https://static.prsa.pl/images/cf93491c-845f-426e-96ad-6058bfd9a224.jpg,2021-08-18,Kobiece postacie w literaturze skandynawskiej,"https://www.polskieradio.pl/8/2827/Artykul/2791623,kobiece-postacie-w-literaturze-skandynawskiej"
Nie w humorze,Fran Lebowitz,Lebowitz Fran,Łukasz Witczak,https://static.prsa.pl/images/b2b8613e-7e1f-4387-8dc9-8f0e756de3c6.jpg?format=500,2021-08-15,Nie w humorze i Pottsville. Krytycznie i z dowcipem o współczesnej Ameryce,"https://www.polskieradio.pl/8/2827/Artykul/2787269,nie-w-humorze-i-pottsville-krytycznie-i-z-dowcipem-o-wspolczesnej-ameryce"
Pottsville,Jim Thompson,Thompson Jim,(nie znaleziono),https://static.prsa.pl/images/b2b8613e-7e1f-4387-8dc9-8f0e756de3c6.jpg?format=500,2021-08-15,Nie w humorze i Pottsville. Krytycznie i z dowcipem o współczesnej Ameryce,"https://www.polskieradio.pl/8/2827/Artykul/2787269,nie-w-humorze-i-pottsville-krytycznie-i-z-dowcipem-o-wspolczesnej-ameryce"
Krótka wycieczka,Antun Šoljan,Šoljan Antun,Maciej Czerwiński,https://static.prsa.pl/images/2a7a116e-49b0-4f59-a8c3-3372ffcec421.jpg?format=500,2021-08-08,Krótka wycieczka i Okręg Sinistra. Ważne polskie premiery po latach,"https://www.polskieradio.pl/8/2827/Artykul/2783382,krotka-wycieczka-i-okreg-sinistra-wazne-polskie-premiery-po-latach"
Okręg Sinistra,Ádám Bodor,Bodor Ádám,Małgorzata Komorowska-Fotek,https://static.prsa.pl/images/2a7a116e-49b0-4f59-a8c3-3372ffcec421.jpg?format=500,2021-08-08,Krótka wycieczka i Okręg Sinistra. Ważne polskie premiery po latach,"https://www.polskieradio.pl/8/2827/Artykul/2783382,krotka-wycieczka-i-okreg-sinistra-wazne-polskie-premiery-po-latach"
Niejedno,Barbara Woźniak,Woźniak Barbara,(nie znaleziono),https://static.prsa.pl/images/5877e877-30fd-479c-939a-ce21e01cab4a.jpg?format=500,2021-08-01,Niejedno i Furtka przy dozorcy. Debiut i powieść nie-powieść,"https://www.polskieradio.pl/8/2827/Artykul/2779250,niejedno-i-furtka-przy-dozorcy-debiut-i-powiesc-niepowiesc"
Furtka przy dozorcy,Waldemar Bawołek,Bawołek Waldemar,(brak danych),https://static.prsa.pl/images/5877e877-30fd-479c-939a-ce21e01cab4a.jpg?format=500,2021-08-01,Niejedno i Furtka przy dozorcy. Debiut i powieść nie-powieść,"https://www.polskieradio.pl/8/2827/Artykul/2779250,niejedno-i-furtka-przy-dozorcy-debiut-i-powiesc-niepowiesc"
Skóra,Liam Brown,Brown Liam,(nie znaleziono),https://static.prsa.pl/images/6bcc4f14-08bc-4e9b-bc0f-0d2deffce358.jpg?format=500,2021-07-25,Skóra i Wyborny trup. Dystopijne wizje świata,"https://www.polskieradio.pl/8/2827/Artykul/2776097,skora-i-wyborny-trup-dystopijne-wizje-swiata"
Wyborny trup,Agustina Bazterrica,Bazterrica Agustina,Patrycja Zarawska,https://static.prsa.pl/images/6bcc4f14-08bc-4e9b-bc0f-0d2deffce358.jpg?format=500,2021-07-25,Skóra i Wyborny trup. Dystopijne wizje świata,"https://www.polskieradio.pl/8/2827/Artykul/2776097,skora-i-wyborny-trup-dystopijne-wizje-swiata"
Mżawka,Luis Landero,Landero Luis,Karolina Jaszecka,https://static.prsa.pl/images/70f2fae1-15e5-4704-8998-a4b594dd7a34.jpg,2021-07-18,Literackie spojrzenie na trudne relacje,"https://www.polskieradio.pl/8/2827/Artykul/2772908,literackie-spojrzenie-na-trudne-relacje"
Nowa ja,Halle Butler,Butler Halle,(nie znaleziono),https://static.prsa.pl/images/70f2fae1-15e5-4704-8998-a4b594dd7a34.jpg,2021-07-18,Literackie spojrzenie na trudne relacje,"https://www.polskieradio.pl/8/2827/Artykul/2772908,literackie-spojrzenie-na-trudne-relacje"
Cukry,Dorota Kotas,Kotas Dorota,(brak danych),https://static.prsa.pl/images/eabd2304-ae20-4174-9032-406620a049b5.jpg?format=500,2021-07-10,Cukry i Rzeszot. Nowości w polskiej prozie,"https://www.polskieradio.pl/8/2827/Artykul/2770085,cukry-i-rzeszot-nowosci-w-polskiej-prozie"
Rzeszot,Bartosz Sadulski,Sadulski Bartosz,(nie znaleziono),https://static.prsa.pl/images/eabd2304-ae20-4174-9032-406620a049b5.jpg?format=500,2021-07-10,Cukry i Rzeszot. Nowości w polskiej prozie,"https://www.polskieradio.pl/8/2827/Artykul/2770085,cukry-i-rzeszot-nowosci-w-polskiej-prozie"
Nowy wspaniały smak,Sławomir Shuty,Shuty Sławomir,(brak danych),https://static.prsa.pl/images/08fa74a3-6e18-44bc-bfc1-d1952cab6a5d.jpg?format=500,2021-06-30,W poszukiwaniu tożsamości,"https://www.polskieradio.pl/8/2827/Artykul/2765414,w-poszukiwaniu-tozsamosci"
Mam na imię nie mam,Katarzyna Michalczak,Michalczak Katarzyna,(nie znaleziono),https://static.prsa.pl/images/08fa74a3-6e18-44bc-bfc1-d1952cab6a5d.jpg?format=500,2021-06-30,W poszukiwaniu tożsamości,"https://www.polskieradio.pl/8/2827/Artykul/2765414,w-poszukiwaniu-tozsamosci"
Klara i Słońce,Kazuo Ishiguro,Ishiguro Kazuo,Andrzej Szulc,https://static.prsa.pl/images/a34de58c-af1f-410e-a025-95ee686dc66c.jpg,2021-06-27,Światy spoza nas,"https://www.polskieradio.pl/8/2827/Artykul/2760830,swiaty-spoza-nas"
Sen o okapi,Mariana Leky,Leky Mariana,Agnieszka Walczy,https://static.prsa.pl/images/a34de58c-af1f-410e-a025-95ee686dc66c.jpg,2021-06-27,Światy spoza nas,"https://www.polskieradio.pl/8/2827/Artykul/2760830,swiaty-spoza-nas"
Kara i nagroda,Anna Zonová,Zonová Anna,Anna Maślanka,https://static.prsa.pl/images/0c8c36c7-ca27-42a9-b088-3f955949c2c0.jpg?format=500,2021-06-20,Kara i nagroda i Krótka historia ruchu. Kobieca twarz czeskiej literatury współczesnej,"https://www.polskieradio.pl/8/2827/Artykul/2756296,kara-i-nagroda-i-krotka-historia-ruchu-kobieca-twarz-czeskiej-literatury-wspolczesnej"
Krótka historia ruchu,Petra Hůlová,Hůlová Petra,Julia Różewicz,https://static.prsa.pl/images/0c8c36c7-ca27-42a9-b088-3f955949c2c0.jpg?format=500,2021-06-20,Kara i nagroda i Krótka historia ruchu. Kobieca twarz czeskiej literatury współczesnej,"https://www.polskieradio.pl/8/2827/Artykul/2756296,kara-i-nagroda-i-krotka-historia-ruchu-kobieca-twarz-czeskiej-literatury-wspolczesnej"
Tęsknota za innym światem,Ottessa Moshfegh,Moshfegh Ottessa,Łukasz Buchalski,https://static.prsa.pl/images/743c796d-4eb5-46ce-ab30-a85d6fe055e9.jpg?format=500,2021-06-13,Tęsknota za innym światem i Shuggie Bain. Historie podszyte bólem istnienia,"https://www.polskieradio.pl/8/2827/Artykul/2750406,tesknota-za-innym-swiatem-i-shuggie-bain-historie-podszyte-bolem-istnienia"
