Tytuł,Autor,Autor (po nazwisku),Tłumacz,Okładka,Data emisji,Opis audycji,Link
Do perfekcji,Vincenzo Latronico,Latronico Vincenzo,Katarzyna Skórska,https://static.prsa.pl/images/610bb4a0-d211-47b9-95b0-c6e1ace738ac.jpg,27.06.2025,Do perfekcji i Ogrodnik i śmierć. O poszukiwaniach sensu w świecie pełnym pozorów,"https://www.polskieradio.pl/8/2827/Artykul/3543383,do-perfekcji-i-ogrodnik-i-smierc-o-poszukiwaniach-sensu-w-swiecie-pelnym-pozorow"
Ogrodnik i śmierć,Georgi Gospodinow,Gospodinow Georgi,Magdalena Pytlak,https://static.prsa.pl/images/610bb4a0-d211-47b9-95b0-c6e1ace738ac.jpg,27.06.2025,Do perfekcji i Ogrodnik i śmierć. O poszukiwaniach sensu w świecie pełnym pozorów,"https://www.polskieradio.pl/8/2827/Artykul/3543383,do-perfekcji-i-ogrodnik-i-smierc-o-poszukiwaniach-sensu-w-swiecie-pelnym-pozorow"
"Podajcie się, Ziemianie!",Bora Chung,Chung Bora,Dominika Chybowska-Jang,https://static.prsa.pl/images/5b20aa5e-a2d6-4392-9b10-f251c3114f7d.jpg,21.06.2025,"Podajcie się, Ziemianie! i Brokułowy cios. Surrealistyczne fantazje koreańskich literatów","https://www.polskieradio.pl/8/2827/Artykul/3539530,podajcie-sie-ziemianie-i-brokulowy-cios-surrealistyczne-fantazje-koreanskich-literatow"
Brokułowy cios,Yuri Lee,Lee Yuri,Zuza Olszewska,https://static.prsa.pl/images/5b20aa5e-a2d6-4392-9b10-f251c3114f7d.jpg,21.06.2025,"Podajcie się, Ziemianie! i Brokułowy cios. Surrealistyczne fantazje koreańskich literatów","https://www.polskieradio.pl/8/2827/Artykul/3539530,podajcie-sie-ziemianie-i-brokulowy-cios-surrealistyczne-fantazje-koreanskich-literatow"
Krzywda,Paweł Rzewuski,Rzewuski Paweł,(brak danych),https://static.prsa.pl/images/b84ac4b7-6c3b-4ef2-8f9a-f2ab5637cb25.jpg,13.06.2025,Paweł Rzewuski Krzywda i Jakub Nowak Nie w szczepionkę,"https://www.polskieradio.pl/8/2827/Artykul/3537400,pawel-rzewuski-krzywda-i-jakub-nowak-nie-w-szczepionke"
Nie w szczepionkę,Jakub Nowak,Nowak Jakub,(brak danych),https://static.prsa.pl/images/b84ac4b7-6c3b-4ef2-8f9a-f2ab5637cb25.jpg,13.06.2025,Paweł Rzewuski Krzywda i Jakub Nowak Nie w szczepionkę,"https://www.polskieradio.pl/8/2827/Artykul/3537400,pawel-rzewuski-krzywda-i-jakub-nowak-nie-w-szczepionke"
Końce światów,Ziemowit Szczerek,Szczerek Ziemowit,(brak danych),https://static.prsa.pl/images/8873699e-a275-40d5-ab2c-91ec69e5b491.jpg,05.06.2025,"Ziemowit Szczerek Końce światów, Mateusz Górniak Ćpun i głupek","https://www.polskieradio.pl/8/2827/Artykul/3533827,ziemowit-szczerek-konce-swiatow-mateusz-gorniak-cpun-i-glupek"
Ćpun i głupek,Mateusz Górniak,Górniak Mateusz,(brak danych),https://static.prsa.pl/images/8873699e-a275-40d5-ab2c-91ec69e5b491.jpg,05.06.2025,"Ziemowit Szczerek Końce światów, Mateusz Górniak Ćpun i głupek","https://www.polskieradio.pl/8/2827/Artykul/3533827,ziemowit-szczerek-konce-swiatow-mateusz-gorniak-cpun-i-glupek"
Urodziny,Weronika Murek,Murek Weronika,(brak danych),https://static.prsa.pl/images/85d1f6da-468d-4984-a3b1-ad72e5f1c79a.jpg,31.05.2025,Co słychać w polskiej prozie? Literackie powroty i debiuty,"https://www.polskieradio.pl/8/2827/Artykul/3529906,co-slychac-w-polskiej-prozie-literackie-powroty-i-debiuty"
"O pięciu osobach, które odwiedziły moją żonę po mojej śmierci",Julia M. Maj,Maj Julia M.,(brak danych),https://static.prsa.pl/images/85d1f6da-468d-4984-a3b1-ad72e5f1c79a.jpg,31.05.2025,Co słychać w polskiej prozie? Literackie powroty i debiuty,"https://www.polskieradio.pl/8/2827/Artykul/3529906,co-slychac-w-polskiej-prozie-literackie-powroty-i-debiuty"
O panu O,Łukasz Kaniewski,Kaniewski Łukasz,(brak danych),https://static.prsa.pl/images/85d1f6da-468d-4984-a3b1-ad72e5f1c79a.jpg,31.05.2025,Co słychać w polskiej prozie? Literackie powroty i debiuty,"https://www.polskieradio.pl/8/2827/Artykul/3529906,co-slychac-w-polskiej-prozie-literackie-powroty-i-debiuty"
Studium przypadku,Macrae Burnet,Burnet Macrae,Łukasz Witczak,https://static.prsa.pl/images/8040f1d7-8d02-4c92-9fdc-08fd3bf65cad.jpg?format=500,24.05.2025,Studium przypadku i Tak daleko od domu. Szkocko-irlandzcy pisarze w poszukiwaniu tożsamości,"https://www.polskieradio.pl/8/2827/Artykul/3523895,studium-przypadku-i-tak-daleko-od-domu-szkockoirlandzcy-pisarze-w-poszukiwaniu-tozsamosci"
Tak daleko od domu,Sebastian Barry,Barry Sebastian,Tomasz S. Gałązka,https://static.prsa.pl/images/8040f1d7-8d02-4c92-9fdc-08fd3bf65cad.jpg?format=500,24.05.2025,Studium przypadku i Tak daleko od domu. Szkocko-irlandzcy pisarze w poszukiwaniu tożsamości,"https://www.polskieradio.pl/8/2827/Artykul/3523895,studium-przypadku-i-tak-daleko-od-domu-szkockoirlandzcy-pisarze-w-poszukiwaniu-tozsamosci"
Las duchów,Andrzej Dybczak,Dybczak Andrzej,(brak danych),https://static.prsa.pl/images/73f1b67e-7404-4689-a3cf-f82735e7c4c7.jpg,17.05.2025,Las duchów z Nagrodą Nowakowskiego - recenzja książki Andrzeja Dybczaka,"https://www.polskieradio.pl/8/2827/Artykul/3524683,las-duchow-z-nagroda-nowakowskiego-recenzja-ksiazki-andrzeja-dybczaka"
Pasierb,Juana Jose Saér,Saér Juan Jose,Barbara Jaroszuk,https://static.prsa.pl/images/73f1b67e-7404-4689-a3cf-f82735e7c4c7.jpg,17.05.2025,Las duchów z Nagrodą Nowakowskiego - recenzja książki Andrzeja Dybczaka,"https://www.polskieradio.pl/8/2827/Artykul/3524683,las-duchow-z-nagroda-nowakowskiego-recenzja-ksiazki-andrzeja-dybczaka"
Wszyscy grzesznicy krwawią,S.A. Cosby,Cosby S.A.,Jan Kraśko,https://static.prsa.pl/images/3a1e14a0-457a-49b7-8c5c-19bde7477db0.jpg,2025-05-10,Wszyscy grzesznicy krwawią i Fat City. Ameryka bez pudru,"https://www.polskieradio.pl/8/2827/Artykul/3521397,wszyscy-grzesznicy-krwawia-i-fat-city-ameryka-bez-pudru"
Fat City,Leonard Gardner,Gardner Leonard,Tomasz Antosiewicz,https://static.prsa.pl/images/3a1e14a0-457a-49b7-8c5c-19bde7477db0.jpg,2025-05-10,Wszyscy grzesznicy krwawią i Fat City. Ameryka bez pudru,"https://www.polskieradio.pl/8/2827/Artykul/3521397,wszyscy-grzesznicy-krwawia-i-fat-city-ameryka-bez-pudru"
"Kiedy będziesz gotowy, idź",Wojciech Gunia,Gunia Wojciech,,https://static.prsa.pl/images/8fafe191-d9c6-4e92-8030-4b3925c83544.jpg,2025-04-26,"Kiedy będziesz gotowy, idź: osiem opowieści o ludziach na drogach donikąd”/ Sublimacja. Dziesięć krótkich historii sennych","https://www.polskieradio.pl/8/2827/Artykul/3514400,kiedy-bedziesz-gotowy-idz-osiem-opowiesci-o-ludziach-na-drogach-donikad-sublimacja-dziesiec-krotkich-historii-sennych"
Sublimacja. Dziesięć krótkich historii sennych,Magdalena Grzesiak,Grzesiak Magdalena,,https://static.prsa.pl/images/8fafe191-d9c6-4e92-8030-4b3925c83544.jpg,2025-04-26,"Kiedy będziesz gotowy, idź: osiem opowieści o ludziach na drogach donikąd”/ Sublimacja. Dziesięć krótkich historii sennych","https://www.polskieradio.pl/8/2827/Artykul/3514400,kiedy-bedziesz-gotowy-idz-osiem-opowiesci-o-ludziach-na-drogach-donikad-sublimacja-dziesiec-krotkich-historii-sennych"
Rondo Wiatraczna,Marek Bieńczyk,Bieńczyk Marek,,https://static.prsa.pl/images/07dbb12e-7e91-4157-a26b-012d2fef9bfd.jpg?format=500,2025-04-12,Marek Bieńczyk Rondo Wiatraczna oraz Marcin Wicha/ Agnieszki Rayss Kamionek,"https://www.polskieradio.pl/8/2827/Artykul/3508383,marek-bienczyk-rondo-wiatraczna-oraz-marcin-wicha-agnieszki-rayss-kamionek"
Kamionek,Marcina Wicha i Agnieszka Rayss,Wicha i Agnieszka Rayss Marcina,,https://static.prsa.pl/images/07dbb12e-7e91-4157-a26b-012d2fef9bfd.jpg?format=500,2025-04-12,Marek Bieńczyk Rondo Wiatraczna oraz Marcin Wicha/ Agnieszki Rayss Kamionek,"https://www.polskieradio.pl/8/2827/Artykul/3508383,marek-bienczyk-rondo-wiatraczna-oraz-marcin-wicha-agnieszki-rayss-kamionek"
Wyrwy,Kláry Vlasáková,Vlasáková Kláry,Anna Radwan-Żbikowska,https://static.prsa.pl/images/5f833bd7-c3e9-4bbb-a527-111795a69091.jpg?format=500,2025-04-05,"Wyrwy i Miło, niemiło. Kryzysy społeczne oczami pisarzy","https://www.polskieradio.pl/8/2827/Artykul/3504104,wyrwy-i-milo-niemilo-kryzysy-spoleczne-oczami-pisarzy"
"Miło, niemiło",Milo Janáč,Janáč Milo,Katarzyna Dudzic-Grabińska,https://static.prsa.pl/images/5f833bd7-c3e9-4bbb-a527-111795a69091.jpg?format=500,2025-04-05,"Wyrwy i Miło, niemiło. Kryzysy społeczne oczami pisarzy","https://www.polskieradio.pl/8/2827/Artykul/3504104,wyrwy-i-milo-niemilo-kryzysy-spoleczne-oczami-pisarzy"
Do czysta,Alia Trabucco Zerán,Trabucco Zerán Alia,Tomasz Pindel,https://static.prsa.pl/images/d3660cc8-6067-4412-ab77-69f00bf318e5.jpg?format=500,2025-03-31,Do czysta i O bestiach i ptakach. Co słychać w prozie hiszpańskojęzycznej?,"https://www.polskieradio.pl/8/2827/Artykul/3503616,do-czysta-i-o-bestiach-i-ptakach-co-slychac-w-prozie-hiszpanskojezycznej"
O bestiach i ptakach,Adón Pilar,Pilar Adón,Katarzyna Okrasko,https://static.prsa.pl/images/d3660cc8-6067-4412-ab77-69f00bf318e5.jpg?format=500,2025-03-31,Do czysta i O bestiach i ptakach. Co słychać w prozie hiszpańskojęzycznej?,"https://www.polskieradio.pl/8/2827/Artykul/3503616,do-czysta-i-o-bestiach-i-ptakach-co-slychac-w-prozie-hiszpanskojezycznej"
Ślimaki i śnieg,Agneta Pleijel,Pleijel Agneta,Justyna Czechowska,https://static.prsa.pl/images/5d494277-3d77-4ce7-a718-f5381987cb19.jpg,2025-03-22,Ślimaki i śnieg oraz Przepis doskonały. Szwedzcy autorzy w Czytelni,"https://www.polskieradio.pl/8/2827/Artykul/3499196,slimaki-i-snieg-oraz-przepis-doskonaly-szwedzcy-autorzy-w-czytelni"
Przepis doskonały,Torgny Lindgren,Lindgren Torgny,Dawid Jabłoński,https://static.prsa.pl/images/5d494277-3d77-4ce7-a718-f5381987cb19.jpg,2025-03-22,Ślimaki i śnieg oraz Przepis doskonały. Szwedzcy autorzy w Czytelni,"https://www.polskieradio.pl/8/2827/Artykul/3499196,slimaki-i-snieg-oraz-przepis-doskonaly-szwedzcy-autorzy-w-czytelni"
Tajemniczy pociąg,Can Xue,Xue Can,Katarzyna Sarek,https://static.prsa.pl/images/acc8cc9d-b86c-4c46-8b2d-e06396fd60ce.jpg?format=500,2025-03-15,Tajemniczy pociąg i Król w żółci. Opowieści o strachu i niepewności,"https://www.polskieradio.pl/8/2827/Artykul/3496304,tajemniczy-pociag-i-krol-w-zolci-opowiesci-o-strachu-i-niepewnosci"
Król w żółci,Robert W. Chambers,W. Chambers Robert,Tomasz S. Gałązka,https://static.prsa.pl/images/acc8cc9d-b86c-4c46-8b2d-e06396fd60ce.jpg?format=500,2025-03-15,Tajemniczy pociąg i Król w żółci. Opowieści o strachu i niepewności,"https://www.polskieradio.pl/8/2827/Artykul/3496304,tajemniczy-pociag-i-krol-w-zolci-opowiesci-o-strachu-i-niepewnosci"
Null,Szczepan Twardoch,Twardoch Szczepan,(nie znaleziono),https://static.prsa.pl/images/00e466e5-ac89-4e47-a2d0-7b153eed8212.jpg?format=500,2025-03-08,Null i Kłopotliwe miejsce. Historie o miejscach dotkniętych wojną,"https://www.polskieradio.pl/8/2827/Artykul/3493770,null-i-klopotliwe-miejsce-historie-o-miejscach-dotknietych-wojna"
Kłopotliwe miejsce,Jonathan Littell,Littell Jonathan,Jacek Giszczak,https://static.prsa.pl/images/00e466e5-ac89-4e47-a2d0-7b153eed8212.jpg?format=500,2025-03-08,Null i Kłopotliwe miejsce. Historie o miejscach dotkniętych wojną,"https://www.polskieradio.pl/8/2827/Artykul/3493770,null-i-klopotliwe-miejsce-historie-o-miejscach-dotknietych-wojna"
Tańce nad miastem. Trzy opowieści,Uładzimier Arłou,Arłou Uładzimier,Bohdan Zadura,https://static.prsa.pl/images/9d9b6070-9b2d-4482-a542-1f787e2d761b.jpg,2025-03-01,Tańce nad miastem. Trzy opowieści i O wilku mówiono w izbie. Dwoista natura rzeczywistości,"https://www.polskieradio.pl/8/2827/Artykul/3490114,tance-nad-miastem-trzy-opowiesci-i-o-wilku-mowiono-w-izbie-dwoista-natura-rzeczywistosci"
O wilku mówiono w izbie,Ewa Wieżnawiec,Wieżnawiec Ewa,Małgorzata Buchalik,https://static.prsa.pl/images/9d9b6070-9b2d-4482-a542-1f787e2d761b.jpg,2025-03-01,Tańce nad miastem. Trzy opowieści i O wilku mówiono w izbie. Dwoista natura rzeczywistości,"https://www.polskieradio.pl/8/2827/Artykul/3490114,tance-nad-miastem-trzy-opowiesci-i-o-wilku-mowiono-w-izbie-dwoista-natura-rzeczywistosci"
Zapomniane,Rafała Wojasiński,Wojasiński Rafała,(nie znaleziono),https://static.prsa.pl/images/0285ab87-dbe7-4933-8ab0-b02ea97f1b99.jpg,2025-02-22,Zapomniane i Oida. Opowieści o kobietach,"https://www.polskieradio.pl/8/2827/Artykul/3486648,zapomniane-i-oida-opowiesci-o-kobietach"
Oida,Marta Michalak,Michalak Marta,(brak danych),https://static.prsa.pl/images/0285ab87-dbe7-4933-8ab0-b02ea97f1b99.jpg,2025-02-22,Zapomniane i Oida. Opowieści o kobietach,"https://www.polskieradio.pl/8/2827/Artykul/3486648,zapomniane-i-oida-opowiesci-o-kobietach"
Ptaki Ameryki,Lorrie Moore,Moore Lorrie,Adam Pluszka,https://static.prsa.pl/images/f8a9d974-a956-4d43-aa5a-8e388b4be494.jpg,2025-02-15,Ptaki Ameryki i Nadzieja. Kobiece rozterki i wyzwania,"https://www.polskieradio.pl/8/2827/Artykul/3484016,ptaki-ameryki-i-nadzieja-kobiece-rozterki-i-wyzwania"
Nadzieja,J. M. Coetzee,Coetzee J.M.,(nie znaleziono),https://static.prsa.pl/images/f8a9d974-a956-4d43-aa5a-8e388b4be494.jpg,2025-02-15,Ptaki Ameryki i Nadzieja. Kobiece rozterki i wyzwania,"https://www.polskieradio.pl/8/2827/Artykul/3484016,ptaki-ameryki-i-nadzieja-kobiece-rozterki-i-wyzwania"
"Rok, w którym narodził się diabeł",Santiago Roncagliolo,Roncagliolo Santiago,Tomasz Pindel,https://static.prsa.pl/images/7446fd90-e33b-4cb6-ab10-88098527bcfd.jpg,2025-02-08,"Rok, w którym narodził się diabeł i Ogród nad brzegiem morza. Skomplikowane historie pełne intryg","https://www.polskieradio.pl/8/2827/Artykul/3481626,rok-w-ktorym-narodzil-sie-diabel-i-ogrod-nad-brzegiem-morza-skomplikowane-historie-pelne-intryg"
Ogród nad brzegiem morza,Mercè Rodoreda,Rodoreda Mercè,"Anna Sawicka, Magdalena Pabisiak",https://static.prsa.pl/images/7446fd90-e33b-4cb6-ab10-88098527bcfd.jpg,2025-02-08,"Rok, w którym narodził się diabeł i Ogród nad brzegiem morza. Skomplikowane historie pełne intryg","https://www.polskieradio.pl/8/2827/Artykul/3481626,rok-w-ktorym-narodzil-sie-diabel-i-ogrod-nad-brzegiem-morza-skomplikowane-historie-pelne-intryg"
Szyja żyrafy,Judith Schalansky,Schalansky Judith,Kamil Idzikowski,https://static.prsa.pl/images/0dd964f1-0b2b-4adc-bd4d-a62d855be33b.jpg?format=500,2025-02-01,Szyja żyrafy i Ostatni akt łaski. Opowieści o wiernych swoim przekonaniom,"https://www.polskieradio.pl/8/2827/Artykul/3476842,szyja-zyrafy-i-ostatni-akt-laski-opowiesci-o-wiernych-swoim-przekonaniom"
Ostatni akt łaski,Adelheid Duvanel,Duvanel Adelheid,Dorota Stroińska,https://static.prsa.pl/images/0dd964f1-0b2b-4adc-bd4d-a62d855be33b.jpg?format=500,2025-02-01,Szyja żyrafy i Ostatni akt łaski. Opowieści o wiernych swoim przekonaniom,"https://www.polskieradio.pl/8/2827/Artykul/3476842,szyja-zyrafy-i-ostatni-akt-laski-opowiesci-o-wiernych-swoim-przekonaniom"
Masło,Asako Yuzuki,Yuzuki Asako,Anna Wołcyrz,https://static.prsa.pl/images/aebd8144-b520-44d9-b1b1-fb4977d3992f.jpg?format=500,2025-01-26,Masło i Śmierć w jej dłoniach. Powieści kryminalne spod pióra kobiet,"https://www.polskieradio.pl/8/2827/Artykul/3475531,maslo-i-smierc-w-jej-dloniach-powiesci-kryminalne-spod-piora-kobiet"
Śmierć w jej dłoniach,Ottessa Moshfegh,Moshfegh Ottessa,Teresa Tyszowiecka,https://static.prsa.pl/images/aebd8144-b520-44d9-b1b1-fb4977d3992f.jpg?format=500,2025-01-26,Masło i Śmierć w jej dłoniach. Powieści kryminalne spod pióra kobiet,"https://www.polskieradio.pl/8/2827/Artykul/3475531,maslo-i-smierc-w-jej-dloniach-powiesci-kryminalne-spod-piora-kobiet"
Tajemnica chińskich samochodzików,Florin Irimia,Irimia Florin,Radosława Janowska-Lascar,https://static.prsa.pl/images/5c2e0954-e3c7-45e3-8c39-7b74c542f949.jpg?format=500,2025-01-18,Tajemnica chińskich samochodzików i Białe pierze się w dziewięćdziesięciu.  O sobie samych,"https://www.polskieradio.pl/8/2827/Artykul/3471544,tajemnica-chinskich-samochodzikow-i-biale-pierze-sie-w-dziewiecdziesieciu-o-sobie-samych"
Białe pierze się w dziewięćdziesięciu,Bronja Žakelj,Žakelj Bronja,Joanna Pomorska,https://static.prsa.pl/images/5c2e0954-e3c7-45e3-8c39-7b74c542f949.jpg?format=500,2025-01-18,Tajemnica chińskich samochodzików i Białe pierze się w dziewięćdziesięciu.  O sobie samych,"https://www.polskieradio.pl/8/2827/Artykul/3471544,tajemnica-chinskich-samochodzikow-i-biale-pierze-sie-w-dziewiecdziesieciu-o-sobie-samych"
Dzikie bezkresy,Lauren Groff,Groff Lauren,Jerzy Kozłowski,https://static.prsa.pl/images/26e46bc5-a84e-4ec2-aa7f-6b2888e37a9b.jpg,2025-01-11,Lauren Groff Dzikie bezkresy i Agustina Bazterrica Niegodne. Kobiety o kobietach,"https://www.polskieradio.pl/8/2827/Artykul/3476758,lauren-groff-dzikie-bezkresy-i-agustina-bazterrica-niegodne-kobiety-o-kobietach"
Niegodne,Agustina Bazterrica,Bazterrica Agustina,Katarzyna Mojkowska,https://static.prsa.pl/images/26e46bc5-a84e-4ec2-aa7f-6b2888e37a9b.jpg,2025-01-11,Lauren Groff Dzikie bezkresy i Agustina Bazterrica Niegodne. Kobiety o kobietach,"https://www.polskieradio.pl/8/2827/Artykul/3476758,lauren-groff-dzikie-bezkresy-i-agustina-bazterrica-niegodne-kobiety-o-kobietach"
Diabeł z prowincji,Juan Cárdenas,Cárdenas Juan,Katarzyna Okrasko,https://static.prsa.pl/images/799e9318-7445-446f-94be-6f55e2b6ebd0.jpg,2025-01-04,Diabeł z prowincji i Rozdroże kruków. Powieści pełne wyzwań,"https://www.polskieradio.pl/8/2827/Artykul/3466563,diabel-z-prowincji-i-rozdroze-krukow-powiesci-pelne-wyzwan"
Rozdroże kruków,Andrzej Sapkowski,Sapkowski Andrzej,(brak danych),https://static.prsa.pl/images/799e9318-7445-446f-94be-6f55e2b6ebd0.jpg,2025-01-04,Diabeł z prowincji i Rozdroże kruków. Powieści pełne wyzwań,"https://www.polskieradio.pl/8/2827/Artykul/3466563,diabel-z-prowincji-i-rozdroze-krukow-powiesci-pelne-wyzwan"
Literackie podsumowanie 2024 roku,(brak danych),danych) (brak,(nie znaleziono),https://static.prsa.pl/images/42219f77-7bde-4aac-8a35-b995fe5ad5bb.jpg,2024-12-28,Literackie podsumowanie 2024 roku,"https://www.polskieradio.pl/8/2827/Artykul/3468265,literackie-podsumowanie-2024-roku"
Mleczarz,Anna Burns,Burns Anna,Aga Zano,https://static.prsa.pl/images/7df88949-dcfd-42b1-b642-f00b5c8d43fe.jpg,2024-12-21,Mleczarz i Pieśń prorocza. Powieści z Nagrodą Bookera,"https://www.polskieradio.pl/8/2827/Artykul/3461097,mleczarz-i-piesn-prorocza-powiesci-z-nagroda-bookera"
Pieśń prorocza,Paul Lynch,Lynch Paul,Kaja Gucio,https://static.prsa.pl/images/7df88949-dcfd-42b1-b642-f00b5c8d43fe.jpg,2024-12-21,Mleczarz i Pieśń prorocza. Powieści z Nagrodą Bookera,"https://www.polskieradio.pl/8/2827/Artykul/3461097,mleczarz-i-piesn-prorocza-powiesci-z-nagroda-bookera"
Czeluść,Anna Kańtoch,Kańtoch Anna,(brak danych),https://static.prsa.pl/images/e3beeaa7-803e-44f8-a591-ddb603848558.jpg,2024-12-14,Czeluść i Wróg. Proza autorów polskich,"https://www.polskieradio.pl/8/2827/Artykul/3463120,czelusc-i-wrog-proza-autorow-polskich"
Wróg,Łukasz Orbitowski,Orbitowski Łukasz,(nie znaleziono),https://static.prsa.pl/images/e3beeaa7-803e-44f8-a591-ddb603848558.jpg,2024-12-14,Czeluść i Wróg. Proza autorów polskich,"https://www.polskieradio.pl/8/2827/Artykul/3463120,czelusc-i-wrog-proza-autorow-polskich"
Luneta z rybiej głowy,Patryk Zalaszewski,Zalaszewski Patryk,(brak danych),https://static.prsa.pl/images/24875242-945e-40d9-8dd0-b8b31fce7d93.jpg,2024-12-05,Luneta z rybiej głowy i Mrok jest miejscem. Świat mrocznych fantazji,"https://www.polskieradio.pl/8/2827/Artykul/3454442,luneta-z-rybiej-glowy-i-mrok-jest-miejscem-swiat-mrocznych-fantazji"
Mrok jest miejscem,Ariadna Castellarnau,Castellarnau Ariadna,Justyna Sterna,https://static.prsa.pl/images/24875242-945e-40d9-8dd0-b8b31fce7d93.jpg,2024-12-05,Luneta z rybiej głowy i Mrok jest miejscem. Świat mrocznych fantazji,"https://www.polskieradio.pl/8/2827/Artykul/3454442,luneta-z-rybiej-glowy-i-mrok-jest-miejscem-swiat-mrocznych-fantazji"
Potwór ze Świętej Heleny,Albert Sánchez Piñol,Sánchez Piñol Albert,Dorota Walasek-Elbanowska,https://static.prsa.pl/images/d0b2d139-1156-4b68-bd0e-f6930de69d0e.jpg?format=500,2024-11-30,Potwór ze Świętej Heleny i W cieniu orła. Opowieści historyczne z udziałem Napoleona,"https://www.polskieradio.pl/8/2827/Artykul/3452200,potwor-ze-swietej-heleny-i-w-cieniu-orla-opowiesci-historyczne-z-udzialem-napoleona"
W cieniu orła,Arturo Pérez-Reverte,Pérez-Reverte Arturo,Filip Łobodziński,https://static.prsa.pl/images/d0b2d139-1156-4b68-bd0e-f6930de69d0e.jpg?format=500,2024-11-30,Potwór ze Świętej Heleny i W cieniu orła. Opowieści historyczne z udziałem Napoleona,"https://www.polskieradio.pl/8/2827/Artykul/3452200,potwor-ze-swietej-heleny-i-w-cieniu-orla-opowiesci-historyczne-z-udzialem-napoleona"
Sierpień,Paweł Sołtys,Sołtys Paweł,(nie znaleziono),https://static.prsa.pl/images/5e961511-ab56-4962-951f-40e5c7a8ee99.jpg?format=500,2024-11-23,Sierpień i Koniec zabawy. Proza pełna refleksji,"https://www.polskieradio.pl/8/2827/Artykul/3448587,sierpien-i-koniec-zabawy-proza-pelna-refleksji"
Koniec zabawy,Jacek Melchior,Melchior Jacek,(brak danych),https://static.prsa.pl/images/5e961511-ab56-4962-951f-40e5c7a8ee99.jpg?format=500,2024-11-23,Sierpień i Koniec zabawy. Proza pełna refleksji,"https://www.polskieradio.pl/8/2827/Artykul/3448587,sierpien-i-koniec-zabawy-proza-pelna-refleksji"
Wybrani,Patricia Nieto,Nieto Patricia,(nie znaleziono),https://static.prsa.pl/images/9a279b2f-716e-4fd5-afca-eff45b26ab1d.jpg?format=500,2024-11-16,Wybrani i Ziemia niczyja. Mocny głos z Ameryki Łacińskiej,"https://www.polskieradio.pl/8/2827/Artykul/3438184,wybrani-i-ziemia-niczyja-mocny-glos-z-ameryki-lacinskiej"
Ziemia niczyja,Eduardo Antonio Parra,Antonio Parra Eduardo,Tomasz Pindel,https://static.prsa.pl/images/9a279b2f-716e-4fd5-afca-eff45b26ab1d.jpg?format=500,2024-11-16,Wybrani i Ziemia niczyja. Mocny głos z Ameryki Łacińskiej,"https://www.polskieradio.pl/8/2827/Artykul/3438184,wybrani-i-ziemia-niczyja-mocny-glos-z-ameryki-lacinskiej"
Las duchów,Andrzej Dybczak,Dybczak Andrzej,(nie znaleziono),https://static.prsa.pl/images/951fadc4-fb94-4611-8927-9f8d932ef62e.jpg,2024-11-09,Las duchów i Pasierb. Człowiek na tle historii,"https://www.polskieradio.pl/8/2827/Artykul/3444076,las-duchow-i-pasierb-czlowiek-na-tle-historii"
Pasierb,Juan José Saer,José Saer Juan,(nie znaleziono),https://static.prsa.pl/images/951fadc4-fb94-4611-8927-9f8d932ef62e.jpg,2024-11-09,Las duchów i Pasierb. Człowiek na tle historii,"https://www.polskieradio.pl/8/2827/Artykul/3444076,las-duchow-i-pasierb-czlowiek-na-tle-historii"
Rumowiska,Wit Szostak,Szostak Wit,(brak danych),https://static.prsa.pl/images/30fc39e9-bfbb-485c-adb6-bd7b1bdec633.jpg?format=500,2024-10-26,Rumowiska i Strużki - jak trudno być sobą,"https://www.polskieradio.pl/8/2827/Artykul/3439176,rumowiska-i-struzki-jak-trudno-byc-soba"
Strużki,Maria Halber,Halber Maria,(brak danych),https://static.prsa.pl/images/30fc39e9-bfbb-485c-adb6-bd7b1bdec633.jpg?format=500,2024-10-26,Rumowiska i Strużki - jak trudno być sobą,"https://www.polskieradio.pl/8/2827/Artykul/3439176,rumowiska-i-struzki-jak-trudno-byc-soba"
Król Warmii i Saturna,Joanna Wilengowska,Wilengowska Joanna,(brak danych),https://static.prsa.pl/images/6e225caf-3bc2-485f-a3be-2dae8aa58dcf.jpg?format=500,2024-10-19,Król Warmii i Saturna i Szesnaście na Bourbon. Historie na granicy prawdy i fikcji,"https://www.polskieradio.pl/8/2827/Artykul/3436645,krol-warmii-i-saturna-i-szesnascie-na-bourbon-historie-na-granicy-prawdy-i-fikcji"
Szesnaście na Bourbon,Bartosz Sadulski,Sadulski Bartosz,(brak danych),https://static.prsa.pl/images/6e225caf-3bc2-485f-a3be-2dae8aa58dcf.jpg?format=500,2024-10-19,Król Warmii i Saturna i Szesnaście na Bourbon. Historie na granicy prawdy i fikcji,"https://www.polskieradio.pl/8/2827/Artykul/3436645,krol-warmii-i-saturna-i-szesnascie-na-bourbon-historie-na-granicy-prawdy-i-fikcji"
Usłyszeć śpiew jeleni,František Šmehlík,Šmehlík František,Anna Radwan-Żbikowska,https://static.prsa.pl/images/d9cbecf9-8353-4b16-964b-bfaed842b6b7.jpg,2024-10-12,Usłyszeć śpiew jeleni i Klinika. Czesko-słowackie powieści kryminalne,"https://www.polskieradio.pl/8/2827/Artykul/3434077,uslyszec-spiew-jeleni-i-klinika-czeskoslowackie-powiesci-kryminalne"
